4403,1,83,5,0,0,504,504,504
4403,1,83,6,0,504,2705,2705,2201
4403,1,83,7,0,2705,7345,7345,4640
4403,1,83,8,0,7345,11591,11591,4246
4403,1,83,9,0,11591,16057,16057,4466
4403,1,83,10,0,16057,20796,20796,4739
4403,1,83,11,0,20796,25299,25299,4503
4403,1,83,12,0,25299,29311,29311,4012
4403,1,84,1,0,29311,34621,34621,5310
4403,1,84,2,0,34621,39738,39738,5117
4403,1,84,3,0,39738,42477,42477,2739
4403,1,84,4,0,42477,47038,47038,4561
4403,1,84,5,0,47038,52917,52917,5879
4403,1,84,6,0,52917,57723,57723,4806
4403,1,84,7,0,57723,63005,63005,5282
4403,1,84,8,0,63005,67321,67321,4316
4403,1,84,9,0,67321,72315,72315,4994
4403,1,84,10,0,72315,75145,75145,2830
4403,1,84,11,0,75145,79329,79329,4184
4403,1,84,12,0,79329,83318,83318,3989
4403,1,85,1,0,83318,87139,87139,3821
4403,1,85,2,0,87139,90723,90723,3584
4403,1,85,3,0,90723,93915,93915,3192
4403,1,85,4,0,93915,97306,97306,3391
4403,1,85,5,0,97306,101288,101288,0
4404,1,83,5,0,0,537,537,537
4404,1,83,6,0,537,570,570,33
4404,1,83,7,0,570,570,570,0
4404,1,83,8,0,570,4699,4699,4129
4404,1,83,9,0,4699,9235,9235,4536
4404,1,83,10,0,9235,13637,13637,4402
4404,1,83,11,0,13637,17366,17366,3729
4404,1,83,12,0,17366,21520,21520,4154
4404,1,84,1,0,21520,25330,25330,3810
4404,1,84,2,0,25330,29111,29111,3781
4404,1,84,3,0,29111,32898,32898,3787
4404,1,84,4,0,32898,37314,37314,4416
4404,1,84,5,0,37314,42512,42512,5198
4404,1,84,6,0,42512,47629,47629,5117
4404,1,84,7,0,47629,52183,52183,4554
4404,1,84,8,0,52183,58300,58300,6117
4404,1,84,9,0,58300,63962,63962,5662
4404,1,84,10,0,63962,67756,67756,3794
4404,1,84,11,0,67756,73190,73190,5434
4404,1,84,12,0,73190,76750,76750,3560
4404,1,85,1,0,76750,82139,82139,5389
4404,1,85,2,0,82139,87215,87215,5076
4404,1,85,3,0,87215,90778,90778,3563
4404,1,85,4,0,90778,95605,95605,4827
4404,1,85,5,0,95605,99782,99782,0
4405,1,83,5,0,0,508,508,508
4405,1,83,6,0,508,2953,2953,2445
4405,1,83,7,0,2953,7506,7506,4553
4405,1,83,8,0,7506,12056,12056,4550
4405,1,83,9,0,12056,16864,16864,4808
4405,1,83,10,0,16864,20890,20890,4026
